date,time,latitude,longitude,sec,min,hour,day,month,year,wday,weekend,distance_from_centre,elevation,population_density
17-09-2018,21:04:42,-0.705352,36.838322,42,4,21,17,8,2018,1,0,0.5814199542241391,-45.883857986236286,6317.6
26-10-2018,07:08:04,-1.454231,36.376658,4,8,7,26,9,2018,5,0,0.4714535567677897,-46.121508600589785,6317.6
24-01-2018,00:20:50,-1.332074,36.432978,50,20,0,24,0,2018,3,0,0.3869513396410458,-46.05361817034095,6317.6
27-03-2018,18:07:26,-1.334047,36.366595,26,7,18,27,2,2018,2,0,0.4531411252005291,-46.23538792909836,6317.6
21-03-2018,02:45:07,-1.299872,37.085644,7,45,2,21,2,2018,3,0,0.2687594175652305,-45.420261934816885,6317.6
13-07-2018,06:33:29,-2.055667,37.421773,29,33,6,13,6,2018,5,0,0.9784014226195729,-44.66464572505331,6317.6
23-12-2018,09:50:57,-2.684018,37.201987,57,50,9,23,11,2018,0,1,1.4496241434720254,-44.66384542760467,6317.6
28-11-2018,13:23:18,-0.799027,37.065322,18,23,13,28,10,2018,3,0,0.546877347167536,-45.92686391494158,6317.6
12-08-2018,04:57:44,-0.942826,36.411768,44,57,4,12,7,2018,0,1,0.5314407699772355,-46.13000225688826,6317.6
04-01-2018,07:05:34,-0.811163,36.956008,34,5,7,4,0,2018,4,0,0.49507678929737725,-45.9771304146512,6317.6
02-02-2018,16:50:39,-2.63452,37.156784,39,50,16,2,1,2018,5,0,1.3902369819142357,-44.84091178350383,6317.6
14-12-2018,08:15:20,-1.102281,36.86766,20,15,8,14,11,2018,5,0,0.1908917144168395,-45.64517604233417,6317.6
09-03-2018,10:01:13,-2.067027,37.463846,13,1,10,9,2,2018,5,0,1.0136651277285795,-44.679641863117915,6317.6
14-07-2018,00:28:10,-1.331828,36.539484,10,28,0,14,6,2018,6,0,0.28143143897226236,-45.79499778029667,6317.6
15-06-2018,13:25:12,-2.897564,37.035347,12,25,13,15,5,2018,5,0,1.6258729839692279,-44.516969258778964,6317.6
19-05-2018,21:48:51,-2.947734,36.979562,51,48,21,19,4,2018,6,0,1.6692576673317996,-44.59289444215988,6317.6
07-08-2018,20:18:12,-0.863976,37.386028,12,18,20,7,7,2018,2,0,0.7084997322469538,-45.47681218119209,6317.6
24-12-2018,09:26:23,-1.966909,37.456405,23,26,9,24,11,2018,1,0,0.9336279234920074,-44.85005476146218,6317.6
28-11-2018,19:34:17,-1.699321,36.786766,17,34,19,28,10,2018,3,0,0.4140536987795182,-45.73996606588279,6317.6
