type,properties/segment_id,properties/road_name,geometry/type,geometry/coordinates/0/0,geometry/coordinates/0/1,geometry/coordinates/1/0,geometry/coordinates/1/1,geometry/coordinates/2/0,geometry/coordinates/2/1,geometry/coordinates/3/0,geometry/coordinates/3/1,geometry/coordinates/4/0,geometry/coordinates/4/1,geometry/coordinates/5/0,geometry/coordinates/5/1,geometry/coordinates/6/0,geometry/coordinates/6/1,geometry/coordinates/7/0,geometry/coordinates/7/1,geometry/coordinates/8/0,geometry/coordinates/8/1,geometry/coordinates/9/0,geometry/coordinates/9/1,geometry/coordinates/10/0,geometry/coordinates/10/1,geometry/coordinates/11/0,geometry/coordinates/11/1,geometry/coordinates/12/0,geometry/coordinates/12/1,geometry/coordinates/13/0,geometry/coordinates/13/1,geometry/coordinates/14/0,geometry/coordinates/14/1,geometry/coordinates/15/0,geometry/coordinates/15/1,geometry/coordinates/16/0,geometry/coordinates/16/1,geometry/coordinates/17/0,geometry/coordinates/17/1,geometry/coordinates/18/0,geometry/coordinates/18/1,geometry/coordinates/19/0,geometry/coordinates/19/1,geometry/coordinates/20/0,geometry/coordinates/20/1,geometry/coordinates/21/0
Feature,28_1,accra road-tertiary,LineString,36.8260292,-1.2844709,36.82604955,-1.284444101,36.82607659,-1.284408485,36.82610364,-1.284372869,36.82613068,-1.284337253,36.82615773,-1.284301637,36.82618477,-1.284266021,36.82621182,-1.284230405,36.82623886,-1.284194789,36.82626591,-1.284159173,36.82629295,-1.284123557,36.82631926,-1.284087419,36.82634394,-1.284050124,36.82636862,-1.284012829,36.8263933,-1.283975534,36.82641797,-1.283938238,36.82644161,-1.283900298,36.82646403,-1.2838616,36.82648644,-1.283822903,36.82650886,-1.283784205,36.82653127,-1.283745507,36.82655561
Feature,137_1,accra road-tertiary,LineString,36.82655561,-1.283708049,36.82658162,-1.283671671,36.82660763,-1.283635293,36.82663364,-1.283598915,36.82665965,-1.283562536,36.82668566,-1.283526158,36.82671167,-1.28348978,36.82673768,-1.283453401,36.82676369,-1.283417022,36.8267897,-1.283380644,36.82681571,-1.283344265,36.82684172,-1.283307886,36.82686773,-1.283271508,36.82689374,-1.283235129,36.82692007,-1.283198982,36.82694658,-1.283162968,36.82697229,-1.283126457,36.82699273,-1.28308668,36.82701317,-1.283046904,36.82703361,-1.283007127,36.82705634,-1.28296871,36.8270814
Feature,137_2,accra road-tertiary,LineString,36.82710647,-1.282894632,36.82713153,-1.282857594,36.82715659,-1.282820555,36.82718165,-1.282783516,36.82720671,-1.282746478,36.82723177,-1.28270944,36.82725684,-1.282672402,36.8272819,-1.282635363,36.82730696,-1.282598325,36.82733202,-1.282561287,36.82735708,-1.282524249,36.82738214,-1.282487207,36.82740719,-1.28245016,36.82743224,-1.282413112,36.82745729,-1.282376065,36.82748233,-1.282339018,36.82750738,-1.282301971,36.82753243,-1.282264924,36.82755745,-1.282227858,36.82758247,-1.282190792,36.82760749,-1.282153726,36.82763251
Feature,1_1,airport north road-primary,LineString,36.88645808,-1.332844704,36.88649415,-1.332817819,36.88653021,-1.332790933,36.88656628,-1.332764048,36.88660234,-1.332737162,36.88663841,-1.332710276,36.88667448,-1.332683391,36.88671054,-1.332656505,36.88674661,-1.33262962,36.88678267,-1.332602734,36.88681874,-1.332575848,36.88685499,-1.332549216,36.88689151,-1.332522949,36.88692803,-1.332496681,36.88696455,-1.332470413,36.88700107,-1.332444146,36.88703758,-1.332417878,36.8870741,-1.33239161,36.88711062,-1.332365342,36.88714714,-1.332339075,36.88718366,-1.332312807,36.88722018
Feature,1_2,airport north road-primary,LineString,36.8872567,-1.332260272,36.88729321,-1.332234004,36.88732973,-1.332207736,36.88736625,-1.332181469,36.88740277,-1.332155201,36.88743918,-1.33212878,36.88747556,-1.332102321,36.88751194,-1.332075863,36.88754832,-1.332049404,36.8875847,-1.332022946,36.88762108,-1.331996487,36.88765746,-1.331970029,36.88769384,-1.33194357,36.88773022,-1.331917112,36.88776596,-1.331889806,36.88780147,-1.331862188,36.88783712,-1.33183475,36.88787332,-1.331808045,36.88790952,-1.33178134,36.88794572,-1.331754635,36.88798192,-1.33172793,36.88801812
Feature,59_1,airport north road-primary,LineString,36.88805432,-1.33167452,36.88809052,-1.331647815,36.88812672,-1.33162111,36.88816292,-1.331594405,36.88819912,-1.3315677,36.88823532,-1.331540995,36.88827152,-1.33151429,36.88830772,-1.331487585,36.88834392,-1.33146088,36.88838012,-1.331434175,36.88841632,-1.331407471,36.88845248,-1.331380713,36.88848857,-1.331353857,36.88852465,-1.331327001,36.88856074,-1.331300145,36.88859683,-1.331273289,36.88863292,-1.331246433,36.88866901,-1.331219576,36.88870509,-1.33119272,36.88874118,-1.331165864,36.88877727,-1.331139008,36.88881336
Feature,59_2,airport north road-primary,LineString,36.88884945,-1.331085296,36.88888573,-1.331058712,36.88892229,-1.331032491,36.88895884,-1.331006269,36.88899539,-1.330980047,36.88903194,-1.330953825,36.88906849,-1.330927604,36.88910504,-1.330901382,36.88914159,-1.33087516,36.88917815,-1.330848938,36.8892147,-1.330822717,36.88925125,-1.330796495,36.8892878,-1.330770273,36.88932435,-1.330744051,36.8893601,-1.330716744,36.88939569,-1.330689239,36.88943129,-1.330661733,36.88946688,-1.330634227,36.88950248,-1.330606722,36.88953807,-1.330579216,36.88957434,-1.330552614,36.88961095
Feature,59_3,airport north road-primary,LineString,36.88964755,-1.330500321,36.88968416,-1.330474174,36.88972085,-1.330448149,36.88975756,-1.330422148,36.88979426,-1.330396146,36.88983097,-1.330370144,36.88986768,-1.330344142,36.88990439,-1.330318141,36.88994082,-1.330291758,36.8899766,-1.330264495,36.89001238,-1.330237233,36.89004816,-1.33020997,36.89008395,-1.330182708,36.89011973,-1.330155445,36.89015498,-1.330127517,36.89018954,-1.330098719,36.8902241,-1.330069921,36.89025865,-1.330041122,36.89029321,-1.330012324,36.89032832,-1.329984243,36.8903653,-1.329958638,36.89040229
Feature,59_4,airport north road-primary,LineString,36.89043927,-1.329907427,36.89047609,-1.329881582,36.89051284,-1.329855641,36.89054959,-1.329829699,36.89058634,-1.329803757,36.89062311,-1.329777837,36.89066004,-1.329752148,36.89069697,-1.329726459,36.89073389,-1.32970077,36.89077082,-1.329675081,36.89080775,-1.329649392,36.89084468,-1.329623703,36.89088117,-1.329597402,36.89091759,-1.329570997,36.89095401,-1.329544593,36.89099043,-1.329518189,36.89102685,-1.329491784,36.89106327,-1.32946538,36.89109969,-1.329438975,36.89113611,-1.329412571,36.89117253,-1.329386167,36.89120895
Feature,34_1,airport north road-primary,LineString,36.89124537,-1.329333358,36.89128179,-1.329306953,36.89131821,-1.329280549,36.89135463,-1.329254145,36.89139105,-1.32922774,36.89142747,-1.329201336,36.89146389,-1.329174932,36.89150031,-1.329148527,36.89153673,-1.329122123,36.89157315,-1.329095718,36.89160957,-1.329069314,36.89164599,-1.32904291,36.89168241,-1.329016505,36.89171883,-1.328990101,36.89175525,-1.328963697,36.89179167,-1.328937292,36.89182809,-1.328910888,36.89186451,-1.328884483,36.89190093,-1.328858079,36.89193735,-1.328831675,36.89197377,-1.32880527,36.89201018
